county,s1D,s1R,s2D,s2R
20205,1101,2823,412,2210
20207,482,1037,224,876
20209,36051,16534,19157,11926
21001,2198,4920,2032,4498
21003,2331,4987,2115,4277
21005,4788,5559,3523,4572
21007,1893,2162,1362,1647
21009,6735,9630,5385,7458
21011,2747,1730,1981,1409
21013,3592,5649,3236,5269
21015,15224,34285,8364,24332
21017,4325,3951,2818,3026
21019,11175,9430,7140,7039
21021,5858,6629,3880,4960
21023,1382,1975,1392,1765
21025,3111,1955,2464,2023
21027,3736,4752,2757,3686
21029,12647,17579,8608,14547
21031,1771,3501,1283,2699
21033,2821,3272,2114,2544
21035,6870,8266,4386,6134
21037,14789,24592,9948,18386
21039,1220,1403,969,1249
21041,2157,1612,1807,1509
21043,5222,4494,4475,3797
21045,1783,4053,1135,3207
21047,9106,13278,5410,8832
21049,7436,7898,4485,6287
21051,2458,4804,1270,3712
21053,1029,3019,884,2844
21055,1615,2268,1316,2053
21057,763,1903,686,1978
21059,20779,22563,13858,16930
21061,1996,3249,1730,2656
21063,1830,712,991,493
21065,2162,3065,1901,2607
21067,68031,57605,44591,43313
21069,2945,2841,2627,2445
21071,10105,5598,6360,4794
21073,13888,9651,10654,7912
21075,1516,1281,1009,1045
21077,1435,1708,1167,1619
21079,2858,4269,1693,3617
21081,3408,5265,2147,3882
21083,7839,8234,5169,6818
21085,3863,5983,3133,5443
21087,1777,3197,1622,2926
21089,8258,7374,5750,5862
21091,2306,1802,1719,1444
21093,17318,22326,11271,16064
21095,4440,5229,3455,4934
21097,3814,3743,2596,3035
21099,2962,3680,2268,2748
21101,11048,8659,6885,6650
21103,3195,3672,2551,2992
21105,1049,1160,733,947
21107,8481,10419,6274,9051
21109,1245,3794,1015,3421
21111,195564,155333,143385,114435
21113,7847,11970,5468,10197
21115,3252,5199,2692,5216
21117,25165,41351,14582,29372
21119,3617,2217,3067,2720
21121,4329,6767,3267,5664
21123,2523,3489,1865,2729
21125,6888,15223,3927,11472
21127,2641,2923,2207,2685
21129,1073,1625,1040,1639
21131,1083,3224,916,3530
21133,4198,3902,3540,3856
21135,1787,2884,1080,2436
21137,4119,4939,3169,4072
21139,2142,2382,1792,2090
21141,4379,6379,3087,5061
21143,1821,1989,1475,1727
21145,13006,17303,8601,13629
21147,1576,3606,1375,3417
21149,2225,2177,1826,1731
21151,14657,17237,10401,13737
21153,2719,1904,3143,2504
21155,4304,3158,3029,2349
21157,7363,8067,5254,6689
21159,1203,2422,1226,2453
21161,3095,3847,2282,2724
21163,5149,5905,4269,4984
21165,1520,951,1520,869
21167,4338,5484,3125,4502
21169,1766,2245,1783,2112
21171,1237,3318,1098,3488
21173,5526,4660,3986,3864
21175,2497,1881,2334,1733
21177,7436,5406,4945,4019
21179,8823,8965,6502,7706
21181,1737,1184,1087,882
21183,4659,5242,4021,4498
21185,10206,18746,7248,14932
21187,2019,2683,1458,1968
21189,559,1063,634,1199
21191,2155,3520,1472,2525
21193,5026,5211,3833,4834
21195,12912,9679,7470,7663
21197,2863,2081,2116,1758
21199,8108,17072,5001,14209
21201,498,514,373,373
21203,1837,4177,1301,3182
21205,4710,3312,3752,2883
21207,2440,4783,1786,4443
21209,9238,10267,6250,8577
21211,7546,10790,5609,8734
21213,3118,3922,2065,2846
21215,3159,4811,2562,4295
21217,4163,6644,3977,5539
21219,1772,3032,1545,2283
21221,2637,3833,2254,3301
21223,1927,1861,1291,1432
21225,3335,2678,2516,2513
21227,19184,24579,11686,18651
21229,2316,2826,1904,2480
21231,3045,3987,2835,3868
21233,3000,2516,1909,2195
21235,4849,8485,2594,6469
21237,1886,1120,1122,737
21239,5903,6231,4520,5344
22001,11383,14090,4719,11627
22003,4665,4134,1550,3065
22005,20269,24039,10333,19234
22007,6401,3793,3848,2981
22009,8737,7086,3109,4925
22011,5297,7500,1899,6236
22013,4143,2796,2006,2465
22015,17232,25700,6620,20144
22017,60558,41348,33759,34947
22019,41183,36855,17018,30903
22021,1732,2835,680,1784
22023,1863,1738,400,1686
22025,2411,2482,774,1926
22027,3468,2883,1394,2387
22029,4687,4175,1764,3319
22031,6134,5352,2774,4213
22033,110694,80222,61561,64298
22035,2296,993,1270,893
22037,5175,4402,2925,3531
22039,8082,6852,3427,5465
22041,3784,5032,1456,3482
22043,2702,5230,957,3699
22045,15895,14858,7350,12964
22047,10532,4936,5788,3996
22049,3157,4183,1416,3059
22051,91966,79965,40887,72054
22053,6028,6487,2379,5453
22055,40826,50054,18768,41666
22057,17778,17513,7512,16509
22059,1599,4542,524,3092
22061,8960,8840,3767,6769
22063,15295,33401,5854,26378
22065,3165,1722,1190,1291
22067,6647,5763,2962,4002
22069,9016,7084,3684,5178
22071,119991,20434,73071,19858
22073,28323,35075,13646,23955
22075,5361,4547,1970,3605
22077,7937,3979,4018,3867
22079,25511,29414,11313,21803
22081,2601,1734,958,1403
22083,3983,4688,1845,3445
22085,3480,5338,1105,4247
22087,7628,5119,3029,4631
22089,11785,12097,5582,10061
22091,4063,1892,2254,1682
22093,8011,3743,4895,3145
22095,13754,6458,7435,5134
22097,23762,16580,11539,13368
22099,11990,10515,6331,9332
22101,11633,9458,5896,8515
22103,39429,65150,15931,56779
22105,22475,23714,9404,20253
22107,1771,979,594,759
22109,18625,19542,8016,17429
22111,3966,6175,1674,4292
22113,11148,12356,3839,10571
22115,5961,8266,1645,6269
22117,8852,8743,3533,7294
22119,8516,8468,4191,7380
22121,6712,4760,3409,3988
22123,1502,3138,485,1987
22125,2953,2452,1677,2082
22127,2815,3478,963,2660
23001,20941,33714,6824,15641
23003,9812,25324,5263,11547
23005,73658,88050,21149,42336
23007,6534,10471,2096,4819
23009,12771,19152,4177,9698
23011,23977,41794,8131,19216
23013,9578,13139,2533,6129
23015,7847,13691,1857,6639
23017,11903,19621,3886,8688
23019,26543,53619,9633,27913
23021,2896,6494,911,3522
23023,7993,13166,1818,5789
23025,9095,16635,3387,8986
23027,8288,13347,2525,6922
23029,5507,11215,2249,5739
23031,42167,64868,15759,31228
24001,9639,11350,9507,14667
24003,102511,92994,108328,93804
24005,165678,112670,198290,95297
24009,15247,15569,17296,17272
24011,4508,5142,4423,5898
24013,21632,39312,22837,41795
24015,13132,15600,14994,18452
24017,30106,15598,42638,16752
24019,6481,4910,6552,5526
24021,34913,38013,45161,48563
24023,3361,5750,3448,8263
24025,40712,50513,43274,45404
24027,63738,40853,80265,42892
24029,4549,3405,4312,3608
24031,204005,79582,293715,94010
24033,204441,22607,305771,25080
24035,8575,10561,7385,12540
24037,14669,15911,17566,19480
24039,4082,3363,4686,3568
24041,7968,7946,8100,8986
24043,17356,20873,19702,28161
24045,14668,14189,16974,15072
24047,10248,10619,9676,11270
24510,138312,18336,189128,16931
25001,71509,55673,63277,69597
25003,50364,11863,45256,18683
25005,158827,68449,125906,114277
25007,7491,2501,7387,3520
25009,218583,115312,180861,184225
25011,27944,8079,25114,12495
25013,125283,56212,108414,90538
25015,57053,17221,53417,27827
25017,476434,209940,420142,331004
25019,3991,1717,3435,2653
25021,214071,112229,174269,181187
25023,142223,94567,111643,144172
25025,204753,44308,208779,78469
25027,213448,127973,168446,199401
26001,3506,2562,3047,2812
26003,3045,1446,2575,1809
26005,24697,27402,21842,28350
26007,10037,4278,7910,5561
26009,6624,6403,5785,6834
26011,4867,2667,4411,2940
26013,2309,1158,1929,1392
26015,14211,14409,12614,14581
26017,36807,16766,31840,18940
26019,5597,4101,5096,4331
26021,40497,31919,32855,35610
26023,9136,7834,7775,8470
26025,37323,23060,31237,24204
26027,12138,9612,9426,11673
26029,7471,6060,6591,6830
26031,7742,5264,6872,5825
26033,9991,5659,8581,6231
26035,8429,5103,7749,5015
26037,20996,16708,20286,17272
26039,3951,2661,3555,2902
26041,12112,5966,9875,7333
26043,7759,4773,6180,5928
26045,32378,21540,30403,21762
26047,9146,7806,8028,8912
26049,148596,58302,137711,56502
26051,7570,4844,7046,4909
26053,5503,2205,4477,2724
26055,24105,21489,22158,23487
26057,9896,6700,8978,6341
26059,9236,9458,8287,9724
26061,9284,5779,7750,6815
26063,10170,5776,9174,5702
26065,94652,38529,84547,37503
26067,13779,11528,12365,12006
26069,8447,4879,7566,5120
26071,3922,1907,3211,2448
26073,16924,9063,14340,8489
26075,41035,27838,35730,30157
26077,74977,47663,69072,47608
26079,4237,3536,3859,3940
26081,149242,135895,135093,145033
26083,808,517,694,628
26085,3137,1813,2997,2028
26087,23108,18720,22070,18798
26089,7638,6098,7089,6609
26091,26208,17769,22803,19081
26093,45687,46231,41738,51329
26095,1566,956,1307,1174
26097,3696,2338,3174,2696
26099,257439,131962,236071,146108
26101,7888,4426,6998,4906
26103,22660,8621,20280,10511
26105,8468,5910,7356,6689
26107,9718,7793,8469,7670
26109,6599,3570,5639,4492
26111,22430,18764,19826,20040
26113,3286,3786,2748,3991
26115,44485,25564,39700,28089
26117,14380,10848,12836,11391
26119,2977,2037,2510,2284
26121,55636,23648,45417,27253
26123,11463,10210,9632,10941
26125,396862,220597,367034,251995
26127,6844,4932,5469,5520
26129,6422,3548,5875,3877
26131,2530,1108,1956,1399
26133,5460,4861,4809,5002
26135,2258,1740,1938,1848
26137,6429,5334,5421,5846
26139,50577,78535,43807,83853
26141,4668,2386,3818,2946
26143,8232,4951,7357,5071
26145,67025,31099,59918,33915
26147,46265,28478,41107,29079
26149,13075,10932,10767,11311
26151,10614,8113,9665,7959
26153,2698,1362,2201,1627
26155,20872,13107,19103,12796
26157,15408,10540,13922,10666
26159,18932,13669,17166,14024
26161,128973,45832,122094,48514
26163,674528,161329,608169,172365
26165,8093,6488,7050,7040
27001,3893,3617,5628,2810
27003,66800,82308,113611,59991
27005,6016,8437,8998,6095
27007,10033,9454,13604,6710
27009,6485,8473,11542,6267
27011,1274,1211,1818,788
27013,14483,13660,21289,9338
27015,4435,6329,8149,4803
27017,9521,6099,13054,4290
27019,14102,26968,28205,21378
27021,5888,7685,8996,5930
27023,2559,2419,4176,1592
27025,9833,13768,16758,10371
27027,12067,13032,18607,8064
27029,1596,2109,2172,1709
27031,1620,1207,2263,820
27033,2131,2770,3457,1985
27035,13025,16107,19568,12467
27037,85298,102701,139161,77031
27039,3384,4771,5926,3627
27041,6856,10077,12199,7233
27043,2911,3599,4788,2377
27045,4630,4772,6810,3100
27047,7432,6566,11107,4406
27049,9242,11176,15777,8277
27051,1469,1483,2222,1036
27053,329616,237712,469119,165612
27055,4597,5027,5174,3909
27057,4024,5751,6353,4311
27059,6557,9564,11131,7438
27061,11544,9263,15382,6967
27063,2145,2478,3157,1802
27065,2980,3745,4819,2697
27067,8007,10246,13033,6990
27069,1168,1077,1674,625
27071,3090,2847,4315,1704
27073,1746,1611,2674,1035
27075,3549,2432,4678,1702
27077,770,1204,1218,839
27079,5270,6321,9144,4489
27081,1272,1464,1712,1112
27083,4410,6089,7320,4085
27085,5496,9093,10553,6617
27087,1142,858,1483,531
27089,1752,2322,2973,1448
27091,3589,5108,6167,3924
27093,3870,5697,7111,4224
27095,4801,5852,7737,4234
27097,5424,7826,9233,6027
27099,9093,6844,12475,4443
27101,1866,2334,2674,1715
27103,7384,7237,11968,4912
27105,3534,4192,4587,3024
27107,1576,1334,2262,749
27109,28589,35334,46067,25721
27111,10740,17199,16542,12931
27113,2595,3239,4098,1956
27115,6016,5683,8449,4269
27117,1681,2637,1981,2228
27119,5926,7353,8975,4555
27121,2559,2749,4005,1831
27123,142251,92952,196972,58824
27125,834,984,1306,527
27127,2454,3642,4494,2741
27129,2909,3275,4996,2215
27131,13680,12061,20657,8943
27133,1750,2656,2148,2245
27135,2421,4394,4009,2835
27137,64531,38320,82504,25684
27139,20693,33839,39072,26941
27141,13405,22887,25020,18290
27143,2158,3499,4603,2667
27145,26161,36224,46312,25373
27147,6552,8647,11781,5716
27149,2250,2526,3456,1820
27151,2294,1879,3497,1285
27153,4177,5536,6796,4139
27155,794,837,1222,505
27157,4466,4959,7142,3705
27159,2294,3683,3541,2753
27161,3261,4229,6063,2988
27163,50562,63804,88581,45135
27165,2019,2104,3373,1388
27167,1074,1814,1881,1114
27169,12761,11318,15463,8360
27171,18664,32999,36038,27072
27173,2174,2313,3540,1558
27999,679,416,,
28001,9043,5942,8207,6052
28003,4942,9624,3722,10417
28005,3449,3821,2959,4315
28007,3921,4922,3492,5037
28009,2121,2270,1866,2010
28011,9380,5062,8277,4939
28013,2467,4386,2216,4626
28015,2078,3704,1738,3881
28017,4450,4299,3935,4223
28019,1325,2602,1237,2835
28021,4195,1102,4129,843
28023,3349,4782,2727,4996
28025,5815,4813,6067,4579
28027,6760,3046,6807,2769
28029,7597,6397,6672,6446
28031,4163,5033,3382,5440
28033,20585,41363,21255,41912
28035,11574,14621,12053,16659
28037,1975,2604,1579,2686
28039,3137,5838,1751,7434
28041,2204,3479,1462,3884
28043,4830,5993,4963,5857
28045,5981,10373,4037,11980
28047,24608,35457,20452,40061
28049,69536,35743,67329,31183
28051,6852,2145,6389,1731
28053,3368,1593,3169,1460
28055,519,379,382,306
28057,2912,6790,1593,7379
28059,19847,32449,16043,34863
28061,5130,3816,4596,4232
28063,3522,826,3302,673
28065,4328,2775,3712,2631
28067,10589,18066,8633,20083
28069,3092,1941,2708,1989
28071,7092,10656,7481,11302
28073,6266,17119,5085,18679
28075,12898,18846,12011,19119
28077,2967,3803,2336,4089
28079,4375,4695,3531,4861
28081,12074,22375,11227,23043
28083,8433,4206,7462,3892
28085,6345,9768,5185,10697
28087,11727,14489,12171,14063
28089,18874,26920,17937,29188
28091,4987,7729,4247,7919
28093,7928,7191,8894,6409
28095,7148,9752,6325,10020
28097,2502,2980,2289,2938
28099,3773,7384,2916,7728
28101,3406,6166,3056,6367
28103,4445,1853,3946,1648
28105,8073,9891,8163,9184
28107,8533,7192,8243,7471
28109,7532,13762,4702,15732
28111,1957,3487,1403,3935
28113,9307,8139,8653,8464
28115,3297,9230,2391,9637
28117,3917,6652,2665,7024
28119,2421,1427,2368,1109
28121,16363,45488,13542,48641
28123,5210,6019,4474,6211
28125,1764,920,1356,830
28127,5269,6844,4289,7492
28129,2595,5480,1881,5930
28131,2564,4384,1826,5308
28133,7307,3462,6945,3228
28135,3821,2788,3202,2629
28137,4916,7196,4723,7069
28139,3082,6315,2367,6418
28141,2657,5477,1733,5899
28143,2638,1261,2947,923
28145,3880,8082,2394,8669
28147,3643,3822,2852,3948
28149,10109,10844,9409,10610
28151,12033,6442,11578,6117
28153,4469,5204,3961,5802
28155,1500,3800,1133,3937
28157,3082,1531,2908,1363
28159,4605,5344,4351,5244
28161,3000,3684,2751,3392
28163,5636,5254,5317,5037
29001,2872,4464,5457,4018
29003,1759,3864,3952,3664
29005,527,1470,1155,1340
29007,2538,4512,4640,4420
29009,2356,7549,5115,7319
29011,739,3651,1802,3551
29013,1954,3495,3716,3345
29015,2217,4676,4083,4277
29017,1012,2891,2098,3035
29019,23117,25253,46332,25431
29021,9771,13107,20437,11913
29023,2938,8229,6783,9079
29025,979,2083,1832,1880
29027,4301,8277,7968,8664
29029,4558,11035,9391,10883
29031,7216,18728,14390,18913
29033,818,2199,1906,1926
29035,727,1326,1211,1400
29037,11619,21923,22626,21557
29039,1225,3310,2332,3205
29041,1021,1807,1856,1690
29043,6014,19047,14312,20383
29045,1177,1501,1811,1288
29047,28161,37966,57654,37967
29049,2706,4128,4777,4142
29051,8801,18240,15394,18918
29053,1555,3480,3335,3494
29055,2280,4346,4240,4654
29057,704,2329,1472,2128
29059,1511,3823,3072,3514
29061,848,1750,1654,1532
29063,1086,2210,1950,2015
29065,1370,3437,2558,3499
29067,1199,3522,2486,3498
29069,2363,4306,5347,4806
29071,11050,19835,21826,21281
29073,1608,3606,2927,3603
29075,781,1371,1463,1235
29077,28494,55068,59979,55304
29079,744,2113,2032,1912
29081,678,1966,1558,1744
29083,2923,4647,5119,4066
29085,1361,2308,2292,1982
29087,372,1306,959,1169
29089,1263,2199,2298,2101
29091,3176,7752,6692,8340
29093,1346,1388,2252,1461
29095,110082,85736,204291,86374
29097,6779,23355,17485,24563
29099,25689,35585,51862,38745
29101,5230,8677,10197,8613
29103,546,1013,965,905
29105,2817,8414,6273,7721
29107,4181,7068,7695,6663
29109,2680,8529,5830,8510
29111,1182,2095,2093,1982
29113,5351,9027,10225,10860
29115,1525,2439,2911,2170
29117,1356,2901,2877,2592
29119,1127,4199,2644,4667
29121,1904,3591,3256,3444
29123,1190,2148,2360,2242
29125,1053,2227,1870,2312
29127,2804,5713,5281,6350
29129,241,863,664,813
29131,1696,5743,3912,6084
29133,1252,2068,2618,2098
29135,1427,3585,2394,3483
29137,1065,1923,1888,1917
29139,1372,2565,2331,2554
29141,2007,4488,3773,4190
29143,1733,2806,3966,2908
29145,3739,13625,8933,14574
29147,2269,4195,4656,3543
29149,1214,2029,2048,2095
29151,1323,4018,2359,3986
29153,960,2286,1866,2202
29155,1262,2119,3498,2487
29157,1603,4068,3439,4012
29159,3763,8027,8246,7196
29161,4631,8570,8133,8579
29163,2056,3101,3449,3381
29165,12006,17619,23578,17870
29167,2424,6794,5226,6789
29169,2357,6172,6278,6094
29171,463,1426,895,1296
29173,1360,2308,2248,2596
29175,2263,4845,4286,4750
29177,3013,4055,5439,3960
29179,1012,1247,1700,1247
29181,1169,2526,2147,2771
29183,43960,73697,90040,82319
29185,1242,2408,2101,2132
29186,2614,2688,4758,2735
29187,6042,8222,11751,9142
29189,195229,167458,335573,164267
29195,2667,3763,5143,3121
29197,624,930,985,793
29199,593,991,941,900
29201,3161,7664,7627,8514
29203,1235,1533,1935,1536
29205,996,1727,1424,1667
29207,2766,6725,5328,6757
29209,2897,8905,5699,8769
29211,818,1458,1309,1128
29213,3392,11026,7834,11940
29215,2268,5371,4544,5340
29217,1777,4555,3810,4171
29219,3500,6433,6591,7040
29221,2780,3378,4648,3486
29223,1411,2625,2697,2693
29225,3130,7990,6363,7739
29227,311,572,515,449
29229,1374,4407,2883,4402
29510,71938,16353,123000,15385
30001,3233,1518,1532,2876
30003,4300,888,3141,1309
30005,2379,512,1834,897
30007,1755,1008,995,1732
30009,4085,1502,2691,2788
30011,444,257,125,616
30013,27349,7758,18246,14589
30015,2134,671,1374,1321
30017,4003,1333,2283,2661
30019,716,317,327,607
30021,3012,1357,1571,2504
30023,4393,681,3122,1049
30025,879,510,422,840
30027,3939,2088,2063,3533
30029,26963,15459,16223,24171
30031,33142,13359,24781,20386
30033,423,284,101,558
30035,4162,777,3118,1113
30037,288,180,174,276
30039,1077,586,657,895
30041,5333,1285,4060,2361
30043,4294,1892,2685,3389
30045,872,336,441,701
30047,9633,3996,6561,5717
30049,24702,7419,18189,13446
30051,715,251,369,572
30053,5627,3449,3091,5080
30055,681,386,332,616
30057,2978,1488,1516,2690
30059,635,297,342,544
30061,1329,624,866,963
30063,45621,11961,36488,18184
30065,1361,878,684,1463
30067,6129,2530,4260,3882
30069,183,114,73,202
30071,1468,621,607,1465
30073,2125,702,1187,1355
30075,598,385,239,719
30077,1885,886,1167,1431
30079,439,273,236,420
30081,13557,7956,8602,11990
30083,2780,1649,1406,2933
30085,3341,766,2269,1235
30087,2874,895,1704,1578
30089,3362,2350,2044,3219
30091,1468,508,812,995
30093,14445,2265,11673,4148
30095,3022,1474,1732,2684
30097,1161,821,661,1328
30099,2233,1009,1341,1760
30101,1443,658,721,1209
30103,336,126,157,252
30105,2964,864,1749,1824
30107,632,322,365,559
30109,366,183,149,339
30111,50126,17308,32565,32077
31001,6665,6263,4468,8170
31003,983,2123,603,2625
31005,61,182,35,229
31007,100,301,62,349
31009,119,188,32,265
31011,1085,1706,664,2139
31013,1777,2966,1860,2838
31015,409,641,208,851
31017,486,1006,204,1342
31019,7000,11876,5779,13491
31021,1234,2023,1343,1977
31023,1448,2336,1195,2642
31025,4210,7412,4919,7153
31027,1082,2907,1284,3041
31029,477,1308,304,1546
31031,775,2093,660,2328
31033,1040,3583,1266,3344
31035,1210,1770,750,2194
31037,1070,2057,1062,1992
31039,1170,2830,1070,2893
31041,2173,3373,1056,4439
31043,2491,3543,3300,2770
31045,1173,2363,1303,2405
31047,3026,4801,2375,5422
31049,218,710,254,762
31051,811,1877,1069,1618
31053,5647,9374,6056,8823
31055,93667,123299,114700,106951
31057,258,699,212,767
31059,1315,1610,937,1918
31061,789,734,418,1107
31063,491,873,299,1008
31065,860,1436,504,1729
31067,5079,4909,4452,5172
31069,248,831,262,819
31071,445,566,170,774
31073,394,641,242,738
31075,91,257,59,299
31077,666,522,361,827
31079,9419,11398,7790,12350
31081,1824,2905,1342,3498
31083,724,1007,428,1329
31085,182,353,88,445
31087,502,825,371,1112
31089,1570,3271,1025,3896
31091,130,293,69,333
31093,1419,1523,926,1940
31095,1694,1935,1366,2052
31097,1014,1055,910,1147
31099,1218,1888,820,2343
31101,1085,2763,1063,2988
31103,180,327,74,407
31105,463,1243,447,1233
31107,1345,2524,1147,2880
31109,62421,60805,68046,58306
31111,6442,9454,5298,10285
31113,133,273,76,357
31115,172,218,76,281
31117,77,201,40,253
31119,4250,9182,3746,10089
31121,1344,2023,996,2491
31123,644,1627,522,1675
31125,743,953,540,1068
31127,1251,2119,1316,1901
31129,959,1231,650,1532
31131,2797,4111,2876,4067
31133,578,765,482,861
31135,392,993,297,1091
31137,1392,3058,1006,3368
31139,825,2259,698,2716
31141,3917,9166,3601,9801
31143,932,1579,618,1820
31145,1658,3269,1214,3692
31147,1332,2477,1412,2312
31149,307,465,103,683
31151,3011,2139,2555,2387
31153,21994,43116,29996,40682
31155,3660,6266,3728,6547
31157,5117,9262,5017,9299
31159,3137,4257,2776,4764
31161,477,1821,489,1986
31163,943,582,559,960
31165,180,517,126,605
31167,632,1762,660,1979
31169,1140,1303,906,1742
31171,138,238,61,352
31173,818,1041,1329,900
31175,1043,1343,594,1599
31177,3230,6658,3505,6660
31179,1062,2626,1193,2484
31181,939,849,524,1203
31183,174,247,91,359
31185,2183,4300,1594,4726
32001,2473,5639,2013,7069
32003,253617,192516,338629,277459
32005,7530,12858,6952,16644
32007,3246,8173,2653,11840
32009,80,268,62,308
32011,137,524,87,636
32013,1600,2836,1124,3876
32015,487,1201,361,1567
32017,442,1311,347,1532
32019,5659,10473,5404,13703
32021,855,822,612,1059
32023,5279,7822,5267,9561
32027,597,915,396,1194
32029,843,1124,673,1375
32031,70523,63316,73164,93778
32033,703,2201,826,2567
32510,8714,9362,7510,13488
33001,15931,16166,6964,14817
33003,13428,13965,7013,12550
33005,24788,15259,12260,13075
33007,9031,6375,4064,6196
33009,27797,18957,15032,15372
33011,97734,95646,43924,82511
33013,42646,33958,21655,31456
33015,78992,80051,35002,68017
33017,36096,24503,15695,21204
33019,11995,9523,5936,8020
34001,61458,45509,61464,42378
34003,210799,159306,201870,144709
34005,114781,85841,121211,82374
34007,144640,69821,148925,62734
34009,20374,23697,19965,22281
34011,31052,18498,31367,16795
34013,198623,61829,213404,53009
34015,72990,55024,74271,52591
34017,126098,40573,139910,32876
34019,22824,40309,24676,36000
34021,91088,52298,97964,43793
34023,175284,112590,178686,97730
34025,132189,150238,120154,144366
34027,94558,124198,93209,114078
34029,109393,139480,99362,132413
34031,100598,59556,105286,54149
34033,16132,12869,15044,12555
34035,66939,71392,70264,63349
34037,27178,41660,25212,38250
34039,116201,69069,125635,58929
34041,18019,27268,17904,24046
35001,180751,102784,144659,115514
35003,780,1316,591,1376
35005,8609,13398,6566,12791
35006,6155,2904,4493,3256
35007,4114,2240,2737,2732
35009,7120,7218,3818,9055
35011,449,593,291,584
35013,42079,26433,36579,25145
35015,8362,11585,6077,12255
35017,8723,4932,7049,5255
35019,1596,596,1396,656
35021,337,287,249,322
35023,1085,855,892,909
35025,4774,13744,4006,12200
35027,3825,5787,2950,5797
35028,5475,5428,4540,5743
35029,4739,3492,3494,3471
35031,18357,4742,13004,7647
35033,2167,581,1803,705
35035,9674,11852,6638,12084
35037,2214,1761,1385,2104
35039,12778,4045,10071,4654
35041,3189,3453,1671,3917
35043,35306,22824,25727,26079
35045,22238,24021,14450,29270
35047,10752,2147,8308,2758
35049,56750,14782,49291,17456
35051,2672,2769,1984,2790
35053,4822,3036,3745,3052
35055,14160,2591,11373,3326
35057,3545,3387,2318,3782
35059,833,890,442,1193
35061,16698,12049,13120,13381
36001,66787,32324,98432,30317
36003,6010,6523,7635,8151
36005,146356,18401,321378,21618
36007,33499,24899,49814,26166
36009,11027,9908,15654,12058
36011,11669,9135,18067,10265
36013,20647,16791,29001,20869
36015,13386,10023,20682,12345
36017,7103,6156,10672,6956
36019,13326,8034,19439,8373
36021,14981,8222,19905,8154
36023,7399,5656,11166,6730
36025,7114,6086,11172,6606
36027,45740,36457,77809,38607
36029,175311,105569,265264,117861
36031,7504,4557,10094,5201
36033,7191,4148,9960,4708
36035,7203,7106,11122,7401
36037,8056,8675,11845,10745
36039,8308,7365,12098,7544
36041,1175,1314,1487,1449
36043,10456,7663,14655,8421
36045,15532,9885,21746,11882
36047,303779,70454,598834,79504
36049,3841,2987,5886,3662
36051,9278,9148,13462,10910
36053,11018,8780,15732,10101
36055,127790,89827,209781,101323
36057,7198,6147,10957,5938
36059,202601,171265,342644,188430
36061,287749,49794,487701,65699
36063,34483,27033,51592,30645
36065,37820,26774,50715,29059
36067,83056,51473,133892,56997
36069,17250,15265,25987,18838
36071,51411,41468,88689,45128
36073,4959,5383,6884,6556
36075,16409,12784,25117,15404
36077,10224,7167,15114,7767
36079,14951,15560,24310,16549
36081,247934,73680,468079,82169
36083,31836,20726,45767,19310
36085,48551,45309,94843,51782
36087,47068,35149,77915,37955
36089,17789,8890,24157,10092
36091,45664,34431,66459,34728
36093,28069,18643,43030,18273
36095,5224,4831,7541,5048
36097,3041,2642,4456,3107
36099,5168,4194,7345,4815
36101,13238,12849,20044,16240
36103,199909,173573,354929,198683
36105,11603,8250,17427,8551
36107,7525,7877,11206,8995
36109,19878,7764,27764,9059
36111,36228,20930,54455,20908
36113,14001,8500,19347,9095
36115,11053,6645,15228,7067
36117,12221,13019,18974,15973
36119,151874,98098,254723,100279
36121,5520,6314,7475,7556
36123,3370,3314,4772,4080
37001,31101,30644,15446,25012
37003,6519,9956,3886,8253
37005,2456,2580,1397,2541
37007,7110,3353,4024,2628
37009,5805,6710,3376,5983
37011,2481,5020,1113,3762
37013,10523,11625,5953,10122
37015,6516,3023,3836,2563
37017,8920,5873,6387,5715
37019,25554,24302,13243,25753
37021,70777,46855,39017,36632
37023,17283,18618,8510,13796
37025,34441,40026,15922,30758
37027,14310,18925,6908,14382
37029,1645,2995,1014,2005
37031,12926,20356,6064,16677
37033,6033,4371,3398,3559
37035,27927,38473,12651,27706
37037,18316,13398,12310,11711
37039,4144,8020,2969,6219
37041,3707,3478,2162,3000
37043,1901,3493,1557,3029
37045,20847,21136,10259,15752
37047,14043,9184,7513,8598
37049,20214,22768,9629,17771
37051,76509,46279,36692,31205
37053,3513,7092,2111,5145
37055,7538,9871,4200,7370
37057,26706,39221,11247,29336
37059,7048,12502,3363,10340
37061,10451,8852,5753,7325
37063,100476,31808,58028,21871
37065,18177,7372,10318,5621
37067,93836,66618,41013,52074
37069,14044,11609,8047,9131
37071,34934,45893,15546,32881
37073,2850,2424,1559,1686
37075,1599,2339,1195,2161
37077,13985,9853,7257,7291
37079,4281,3638,2613,2914
37081,147969,85152,66480,69787
37083,16929,7756,8934,5416
37085,18692,20636,10136,15466
37087,14330,12622,8245,11261
37089,21214,28022,11393,23916
37091,7590,2850,4401,2053
37093,9498,5539,4650,3588
37095,1387,1006,768,847
37097,29420,39934,12924,28910
37099,9298,6735,5133,5681
37101,29516,38955,15115,30901
37103,2601,2461,1657,2051
37105,11648,11173,6086,8337
37107,14005,11885,8291,9239
37109,13597,20333,6958,15653
37111,7879,9534,3794,8104
37113,7496,8864,4188,7672
