county,s1D,s1R,s2D,s2R
8039,3694,8403,2647,7573
8041,100876,148716,66162,116803
8043,7198,10896,5185,9334
8045,11192,10376,8062,8423
8047,1891,1126,1358,1100
8049,3967,3820,2795,3257
8051,5182,2859,3435,2377
8053,229,294,225,314
8055,2015,1376,1530,1205
8057,284,530,218,433
8059,151616,121889,108954,103657
8061,201,585,181,532
8063,1004,2081,740,2012
8065,1792,918,1208,790
8067,15550,10551,10327,9301
8069,82728,70269,59456,56954
8071,3642,2492,2842,2286
8073,554,1534,482,1234
8075,3031,5190,2390,4483
8077,25591,38582,17522,32971
8079,297,269,247,270
8081,1773,3549,1104,3080
8083,4905,6165,3349,5648
8085,6963,10852,4627,9885
8087,3952,5420,2847,4732
8089,3626,3853,2633,3277
8091,1581,1312,1295,1164
8093,3991,4522,2848,4089
8095,667,1437,555,1274
8097,6899,2375,5091,1951
8099,1731,2545,1182,2271
8101,41290,26566,28779,22031
8103,709,2217,480,1883
8105,2381,2609,1871,2291
8107,7799,4536,5281,3696
8109,1630,831,1382,838
8111,274,183,234,177
8113,3035,918,2064,766
8115,486,741,397,592
8117,9275,4575,5832,3713
8119,4275,7575,2982,6249
8121,604,1727,470,1619
8123,45522,51253,29389,45482
8125,1250,2866,1010,2614
9001,146926,134242,202539,179440
9003,168891,115628,224187,148754
9005,32824,38888,39577,48316
9007,36258,27991,43591,35474
9009,153377,107376,199779,141408
9011,49286,34810,60595,46056
9013,28638,24148,35781,30877
9015,19840,15258,22712,20764
10001,22315,25059,40750,22561
10003,123678,57649,177244,56666
10005,28019,40345,47421,36473
12001,21314,29825,72439,41834
12003,1031,5435,3884,6940
12005,6028,40408,28480,47530
12007,1374,5156,4529,6605
12009,32069,107930,142072,127177
12011,133026,133264,510987,212803
12013,597,2772,2737,3035
12015,6932,31258,37617,42168
12017,6374,27517,34574,35112
12019,7253,44926,30999,59584
12021,8876,66349,54784,85194
12023,3056,11874,10725,15055
12027,1104,3608,4637,4661
12029,914,3038,2724,3755
12031,72184,140447,211493,177958
12033,18377,55364,64793,76893
12035,6764,17617,25430,22029
12037,654,2223,2622,2621
12039,7894,4411,16442,5429
12041,646,3531,2783,4692
12043,341,1598,1823,1903
12045,724,3441,3123,3675
12047,1098,1966,2561,2554
12049,771,2862,3101,3611
12051,1355,3681,5002,4632
12053,8020,27413,43691,34902
12055,4360,16489,19110,20354
12057,63451,144906,308910,203595
12059,570,4501,2236,5589
12061,6053,29288,29563,36551
12063,3434,9115,9574,10624
12065,1886,2476,4549,2941
12067,277,1614,1119,2130
12069,18770,60967,69791,71463
12071,18655,103169,117773,133746
12073,24689,34222,94323,46379
12075,2250,7613,7833,9557
12077,304,1228,1587,1539
12079,1990,2758,4763,3545
12081,14363,53127,73985,70721
12083,21377,64565,76930,75967
12085,5922,31935,33767,40901
12086,146029,220305,523461,292757
12087,4252,11282,19506,17013
12089,3153,18458,13313,24773
12091,6007,44084,27098,61796
12093,1106,4550,5972,5554
12095,79616,130903,282090,153241
12097,15100,26008,69690,32331
12099,75242,153256,362499,198238
12101,17589,64141,111764,87620
12103,51629,122339,263427,167380
12105,30899,79274,126722,107393
12107,4351,12869,14560,14942
12109,8365,49761,41171,66626
12111,16472,36218,70179,45989
12113,3837,35461,21893,50772
12115,18279,68284,102569,93502
12117,26449,76550,106371,90179
12119,5613,26805,23410,34058
12121,1776,8783,6277,10480
12123,1096,3932,3914,4802
12125,585,2266,2057,3070
12127,33913,79727,126302,95927
12129,1439,5431,6700,7098
12131,1820,13613,8480,18433
12133,1192,5556,4161,6339
13001,2111,4312,1126,3784
13003,1090,1530,388,982
13005,1024,2542,456,1890
13007,833,750,577,618
13009,8244,6948,5085,5689
13011,1513,4268,530,3768
13013,6821,15684,2970,12510
13015,10469,22591,4453,18039
13017,2716,2868,1454,2314
13019,1994,3925,824,3011
13021,35850,26422,23151,20074
13023,1677,3134,786,2427
13025,1464,4221,500,2636
13027,2316,3239,2190,2686
13029,3737,7957,1619,6023
13031,9514,12690,4176,9768
13033,4841,3864,2855,3098
13035,3222,5165,1679,4279
13037,1307,809,936,677
13039,5640,9689,3001,6582
13043,1342,1851,610,1626
13045,14739,25221,6672,19783
13047,6163,16122,2388,10381
13049,1062,2180,645,1424
13051,56596,43554,32126,34200
13053,889,614,315,383
13055,3408,4251,1399,3300
13057,21599,64464,9584,53241
13059,26202,15279,15871,10495
13061,800,478,593,437
13063,76122,15893,47522,11917
13065,963,1420,433,865
13067,129133,162249,70521,133785
13069,5119,7554,2328,5403
13071,4274,8389,2148,6444
13073,14896,36022,8129,28109
13075,2195,3249,1161,2364
13077,15311,33988,7856,27430
13079,1957,2945,1107,2362
13081,2862,4010,1607,3231
13083,1852,3858,704,2558
13085,1896,7259,678,6081
13087,3947,5502,2713,4165
13089,233727,65531,147628,53891
13091,3026,4548,1475,3544
13093,1990,1859,1480,1503
13095,23523,12534,16979,9638
13097,26410,24241,16249,20056
13099,2418,2490,1781,1897
13101,296,731,108,439
13103,5634,13066,2462,10249
13105,3227,4213,1973,3320
13107,3079,4295,1539,3343
13109,1507,2078,705,1696
13111,3097,6497,1270,5419
13113,19420,35528,11806,28798
13115,11962,19425,5294,15787
13117,14601,54928,6078,45064
13119,2431,4951,959,3878
13121,249201,131438,142999,104472
13123,3069,7022,1240,6459
13125,384,894,100,712
13127,11553,18690,6042,14598
13129,5077,10892,1767,8621
13131,3196,5158,2181,4090
13133,3168,4209,1867,3895
13135,121015,150433,67023,121180
13137,3532,10164,1411,8586
13139,15250,39539,6681,35477
13141,3177,762,2148,695
13143,3039,7145,1084,5706
13145,4404,9344,2326,7233
13147,3575,5352,1760,4052
13149,1271,2589,601,2098
13151,38466,42537,24545,33235
13153,21631,30750,13135,24330
13155,1467,2107,797,1728
13157,5417,15769,2287,13434
13159,2093,3399,1123,2941
13161,1555,3286,774,2640
13163,3784,2698,2281,2268
13165,1627,1526,823,1355
13167,1331,2015,639,1659
13169,4790,6917,2890,5480
13171,2877,4316,1473,3351
13173,1004,1612,532,1037
13175,7936,10653,4321,8749
13177,3509,8803,2001,7160
13179,9810,5108,5260,4365
13181,1655,2351,970,2167
13183,1451,1692,557,1200
13185,16000,19825,8669,13782
13187,3060,7039,1339,6401
13189,3829,4838,2162,3888
13191,2895,2863,1933,2526
13193,2984,1598,1922,1210
13195,3447,7028,1645,5748
13197,1509,1419,798,1187
13199,4497,4296,2480,3612
13201,853,1621,512,1293
13205,3821,3821,2505,2924
13207,4376,7150,2595,6063
13209,1281,2047,593,1808
13211,3078,5469,1611,4558
13213,3653,6636,1143,4331
13215,41324,26256,24741,20378
13217,20197,18195,12280,15037
13219,4583,11443,2741,9500
13221,2335,3614,1198,2937
13223,17335,35242,7779,23676
13225,5679,4849,3338,3891
13227,3086,8617,1156,7447
13229,1294,4942,565,3391
13231,1906,5816,842,4695
13233,5056,7942,2169,6313
13235,1598,2116,744,1710
13237,3146,5361,1693,4656
13239,565,400,378,371
13241,2530,4418,1092,4104
13243,1675,1236,1159,1070
13245,46767,24709,29102,19552
13247,19524,15491,13133,13034
13249,515,1092,289,855
13251,3029,2863,1463,2255
13253,1590,2008,947,1635
13255,9868,13087,5202,10752
13257,3273,6337,1456,4796
13259,1184,687,805,590
13261,5971,5430,3821,4117
13263,2238,1095,1324,891
13265,563,290,452,247
13267,2295,3867,905,3064
13269,1589,1769,1006,1399
13271,2170,1980,1088,1540
13273,2302,1850,1545,1482
13275,6827,9771,4545,8070
13277,4973,8398,2590,6843
13279,3241,5609,1506,4806
13281,1689,3559,836,3257
13283,1206,1500,548,1162
13285,10153,13595,5088,10135
13287,1521,1732,838,1462
13289,2468,1753,1591,1444
13291,3292,6483,1536,6232
13293,4112,6536,2130,4860
13295,6656,14785,2282,9209
13297,8765,24619,4132,20583
13299,3724,7677,1914,4861
13301,1407,940,869,817
13303,4556,3679,2587,2969
13305,3535,6099,1505,4911
13307,544,496,437,457
13309,908,1184,459,798
13311,2676,7234,1075,6417
13313,8542,16805,3301,12063
13315,1219,1778,573,1425
13317,2252,2282,1374,2245
13319,2403,1980,1534,1753
13321,2882,4906,1656,4075
15001,39001,10684,43383,19491
15003,189673,57502,174634,119176
15007,17192,3732,17973,7134
15009,31301,8006,33169,15096
16001,73722,91425,36377,80273
16003,698,1268,338,1225
16005,13600,18313,7988,14636
16007,525,2162,331,1771
16009,1377,2376,673,2140
16011,4058,10455,2182,9225
16013,6126,3782,3213,3246
16015,1196,2218,580,2022
16017,6970,10779,4032,9372
16019,10702,25201,5937,22073
16021,1406,2798,775,2495
16023,326,880,209,872
16025,174,372,74,343
16027,18804,39213,8360,34000
16029,534,2399,323,1819
16031,1316,5553,537,4789
16033,70,229,40,283
16035,1330,2278,712,2049
16037,567,1389,344,1351
16039,2561,5124,1061,4094
16041,660,4023,393,2996
16043,944,3993,530,3348
16045,2139,5013,909,4326
16047,1444,3402,736,3015
16049,2106,5433,1162,4933
16051,1511,7197,880,6230
16053,1786,4343,782,3709
16055,20558,36185,10476,29983
16057,8854,7706,5162,6736
16059,986,2570,642,2553
16061,492,1150,271,963
16063,521,1068,236,956
16065,1282,9552,734,6616
16067,1581,4446,708,3846
16069,7600,9241,3695,8492
16071,385,1523,213,1329
16073,918,2743,397,2319
16075,2332,5554,1001,4684
16077,904,1641,545,1599
16079,2694,2552,1356,2286
16081,2072,1812,1564,1766
16083,8487,16963,3761,14181
16085,2265,2694,1227,2453
16087,1320,2726,591,2556
17001,16328,12955,5124,17525
17003,2321,1082,1358,1179
17005,4525,2996,1791,3219
17007,12065,8412,4408,9029
17009,1458,881,514,1411
17011,10291,5846,4180,7452
17013,1783,728,937,1140
17015,4274,2828,1425,3290
17017,3547,1628,1190,2305
17019,51612,25603,20205,29321
17021,9314,4929,4037,7072
17023,4141,3677,1635,4125
17025,3184,2711,1185,3256
17027,9372,6678,3364,8623
17029,14797,6954,3985,9629
17031,1629347,347434,898751,442029
17033,4495,3911,1682,4724
17035,2895,2053,944,2916
17037,27467,13918,10633,15389
17039,4595,2824,1356,3791
17041,4586,3399,1263,4624
17043,240521,154134,106429,163875
17045,4730,3107,1664,4699
17047,1292,1693,353,1685
17049,8266,7714,2378,9518
17051,4960,4067,1711,4571
17053,3122,2955,823,3441
17055,11967,5541,5222,6636
17057,11067,4240,4612,5761
17059,1844,651,880,1013
17061,3343,2052,1326,2591
17063,12835,7867,5814,9418
17065,2438,1338,1146,1910
17067,5043,3653,1641,4647
17069,1212,807,719,1133
17071,2387,1089,1279,1837
17073,14158,8689,5653,11034
17075,6424,6229,1871,7763
17077,15986,7282,7443,7436
17079,2711,2107,1112,2606
17081,9475,5717,3799,7580
17083,6018,3718,2450,4569
17085,6489,4294,2546,4859
17087,2667,2693,1157,3094
17089,109917,70521,47486,70621
17091,29242,15283,12037,18277
17093,25759,17475,10797,17633
17095,16075,6702,6081,9389
17097,184254,95989,78569,114971
17099,31900,14269,12826,18278
17101,3247,2576,1535,3198
17103,8979,6205,3072,6869
17105,7718,6840,2894,8575
17107,6695,5181,1959,6105
17109,7584,4562,2859,5656
17111,73846,54635,30889,55831
17113,41250,29611,15448,32958
17115,33232,15713,12938,21072
17117,14148,7003,6182,8823
17119,74043,43863,32575,44152
17121,10587,5794,3966,7071
17123,3634,2252,1106,2679
17125,4601,1898,1571,2753
17127,3619,2911,1453,3129
