FIPS,Class,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Green,Libertarian,Constitution,Independent American,Personal Choice,Socialist Workers,Socialist,Write-ins,State1,State2,State3,State4,State5,State6,State7
fips,class,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18
6083,1,Santa Barbara,County,157520,93921,63599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6085,1,Santa Clara,County,623369,454647,168722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6087,1,Santa Cruz,County,116572,91109,25463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6089,1,Shasta,County,74339,27155,47184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6091,1,Sierra,County,1755,677,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6093,1,Siskiyou,County,19530,8196,11334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6095,1,Solano,County,148885,98251,50634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6097,1,Sonoma,County,210148,154892,55256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6099,1,Stanislaus,County,151530,78470,73060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6101,1,Sutter,County,30110,12395,17715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6103,1,Tehama,County,22590,8349,14241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6105,1,Trinity,County,5601,2658,2943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6107,1,Tulare,County,98894,42395,56499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6109,1,Tuolumne,County,24159,10336,13823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6111,1,Ventura,County,315086,171483,143603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6113,1,Yolo,County,72616,49148,23468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6115,1,Yuba,County,19272,7896,11376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9001,1,Fairfield,County,386963,202539,179440,0,0,4984,0,0,0,0,0,0,0,0,0,0,0,0,0
9003,1,Hartford,County,378894,224187,148754,0,0,5953,0,0,0,0,0,0,0,0,0,0,0,0,0
9005,1,Litchfield,County,89385,39577,48316,0,0,1492,0,0,0,0,0,0,0,0,0,0,0,0,0
9007,1,Middlesex,County,80781,43591,35474,0,0,1716,0,0,0,0,0,0,0,0,0,0,0,0,0
9009,1,New Haven,County,346717,199779,141408,0,0,5530,0,0,0,0,0,0,0,0,0,0,0,0,0
9011,1,New London,County,109318,60595,46056,0,0,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
9013,1,Tolland,County,68279,35781,30877,0,0,1621,0,0,0,0,0,0,0,0,0,0,0,0,0
9015,1,Windham,County,44558,22712,20764,0,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,0
10001,1,Kent,County,66290,40750,22561,2522,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,1,New Castle,County,242836,177244,56666,6874,2051,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10005,1,Sussex,County,90481,47421,36473,5904,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12001,1,Alachua,County,116728,72439,41834,1367,0,0,0,0,0,0,0,0,1088,0,0,0,0,0,0
12003,1,Baker,County,11139,3884,6940,216,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0
12005,1,Bay,County,78495,28480,47530,1600,0,0,0,0,0,0,0,0,883,0,0,0,0,2,0
12007,1,Bradford,County,11460,4529,6605,233,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0
12009,1,Brevard,County,278873,142072,127177,6429,0,0,0,0,0,0,0,0,3195,0,0,0,0,0,0
12011,1,Broward,County,733961,510987,212803,5382,0,0,0,0,0,0,0,0,4789,0,0,0,0,0,0
12013,1,Calhoun,County,6032,2737,3035,179,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
12015,1,Charlotte,County,82993,37617,42168,2185,0,0,0,0,0,0,0,0,1023,0,0,0,0,0,0
12017,1,Citrus,County,72631,34574,35112,1821,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0
